,Survey_dat,Name,Survey_num,Easting,Northing,Elevation,E_disp,N_disp,V_disp,Net_H_disp,net_H_V_di,net_disp_y,cum_net_di,latitude,longitude,geometry
42,42718,Peg 14,7,401694.5494976982,5599143.530429853,383.158536,0.074053,-0.391979,-0.130889,0.398912751,0.419837246,2.946934516,3.05857323,-39.752,175.852,POINT Z (401694.5494976982 5599143.530429853 383.158536)
43,42666,Peg 14,6,401694.4581269737,5599143.918496003,383.289425,0.154755,-0.961502001,-0.231109,0.973876382,1.000922863,3.512854278,2.638735984,-39.7519,175.852,POINT Z (401694.4581269737 5599143.918496003 383.289425)
44,42562,Peg 14,5,401694.2604995187,5599144.871030547,383.520534,0.117654,-0.347588501,-0.00894475,0.366960801,0.3670698,1.155004113,1.637813121,-39.7519,175.852,POINT Z (401694.2604995187 5599144.871030547 383.520534)
45,42446,Peg 14,4,401694.1281613097,5599145.213249102,383.5294788,0.093861,-0.317691999,-0.0680935,0.331267405,0.338193462,1.222184295,1.270743321,-39.7519,175.852,POINT Z (401694.1281613097 5599145.213249102 383.5294788)
46,42345,Peg 14,3,401694.02016915294,5599145.525543855,383.5975723,0.068866,-0.317778001,-0.0629735,0.3251544,0.331196385,1.777745301,0.932549858,-39.7519,175.852,POINT Z (401694.0201691529 5599145.525543855 383.5975723)
47,42277,Peg 14,2,401693.9370920649,5599145.8399524335,383.6605458,0.125,-0.575,-0.124,0.588430115,0.601353474,2.46622492,0.601353474,-39.7519,175.852,POINT Z (401693.9370920649 5599145.839952433 383.6605458)
48,42188,Peg 14,1,401693.7866385924,5599146.408447984,383.7845458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.7519,175.852,POINT Z (401693.7866385924 5599146.408447984 383.7845458)
49,43881,Peg 11,11,401698.36409302836,5599277.682960095,389.428943,0.124555,-1.099548999,-0.303295,1.106581199,1.147392612,0.839275157,4.708175931,-39.7507,175.853,POINT Z (401698.3640930284 5599277.682960095 389.428943)
50,43382,Peg 11,10,401698.1912596114,5599278.774655358,389.732238,0.082667,-0.74547,-0.06534,0.750039569,0.752880249,1.402047403,3.560783318,-39.7507,175.853,POINT Z (401698.1912596114 5599278.774655358 389.732238)
51,43186,Peg 11,9,401698.07510965684,5599279.515749165,389.797578,0.056703,-0.512391,-0.190452,0.51551893,0.549574136,1.201165029,2.807903069,-39.7507,175.853,POINT Z (401698.0751096568 5599279.515749165 389.797578)
52,43019,Peg 11,8,401697.9953580044,5599280.024380351,389.98803,0.08833,-0.496634,-0.175747,0.504427912,0.534167134,1.874721191,2.258328932,-39.7507,175.853,POINT Z (401697.9953580044 5599280.024380351 389.98803)
53,42915,Peg 11,7,401697.88532559125,5599280.516652623,390.163777,0.044952,-0.278915,0.005282,0.282514176,0.282563549,1.021145498,1.724161799,-39.7507,175.853,POINT Z (401697.8853255913 5599280.516652623 390.163777)
54,42814,Peg 11,6,401697.82795020024,5599280.793194963,390.158495,0.011494,-0.262995,-0.0351,0.263246049,0.265575775,0.654967282,1.44159825,-39.7507,175.853,POINT Z (401697.8279502002 5599280.793194963 390.158495)
55,42666,Peg 11,5,401697.8052338417,5599281.055280052,390.193595,0.069418,-0.455668,-0.147981,0.460925357,0.484097677,1.698996655,1.176022475,-39.7507,175.853,POINT Z (401697.8052338417 5599281.055280052 390.193595)
56,42562,Peg 11,4,401697.71500167565,5599281.50742154,390.341576,-0.014933,-0.192274502,-0.10174475,0.192853516,0.21804695,0.686096008,0.691924798,-39.7507,175.853,POINT Z (401697.7150016756 5599281.50742154 390.341576)
57,42446,Peg 11,3,401697.7214111459,5599281.699781156,390.4433208,0.03638,-0.118661999,0.0167485,0.124113554,0.125238519,0.452594648,0.473877848,-39.7507,175.853,POINT Z (401697.7214111459 5599281.699781156 390.4433208)
58,42345,Peg 11,2,401697.6802044763,5599281.815984677,390.4265723,0.015866,-0.341778001,-0.0669735,0.342146068,0.348639329,0.810530923,0.348639329,-39.7507,175.853,POINT Z (401697.6802044763 5599281.815984677 390.4265723)
59,42188,Peg 11,1,401697.6489714928,5599282.156719286,390.4935458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.7507,175.853,POINT Z (401697.6489714928 5599282.156719286 390.4935458)
60,43817,Peg 05,13,401864.8878057824,5599634.267148044,414.539135,-0.005302,-0.179169,-0.043924,0.179247432,0.184550697,0.154852883,1.175857153,-39.7476,175.855,POINT Z (401864.8878057824 5599634.267148044 414.539135)
61,43382,Peg 05,12,401864.88476731087,5599634.447080585,414.583059,-0.011931,-0.1645,0.121676,0.164932103,0.204957673,0.381681381,0.991306456,-39.7476,175.855,POINT Z (401864.8847673109 5599634.447080585 414.583059)
62,43186,Peg 05,11,401864.8894313548,5599634.611351242,414.461383,-0.018561,-0.07267,-0.176956,0.07500293,0.192194863,0.420066618,0.786348783,-39.7475,175.855,POINT Z (401864.8894313548 5599634.611351242 414.461383)
63,43019,Peg 05,10,401864.9051439138,5599634.685081074,414.638339,-0.008838,-0.08748,-0.055969,0.087925313,0.104227586,0.365798739,0.59415392,-39.7475,175.855,POINT Z (401864.9051439138 5599634.685081074 414.638339)
64,42915,Peg 05,9,401864.90924963757,5599634.772297559,414.694308,-0.048609,-0.051803,0.039029,0.071037918,0.081053369,0.292915639,0.489926334,-39.7475,175.855,POINT Z (401864.9092496376 5599634.772297559 414.694308)
